registered,instant,cnt,windspeed,yr,weathersit,casual,dteday,atemp,mnth,hum,temp,weekday,workingday,season,holiday
2481,114,4191,0.192175,0,2,1710,2011-04-24,0.551763,4,0.810833,0.581667,0,0,2,0
3300,115,4073,0.185333,0,1,773,2011-04-25,0.5745,4,0.776667,0.606667,1,1,2,0
3722,116,4400,0.3265,0,1,678,2011-04-26,0.594083,4,0.729167,0.631667,2,1,2,0
3325,117,3872,0.3122,0,2,547,2011-04-27,0.575142,4,0.835417,0.62,3,1,2,0
3489,118,4058,0.320908,0,2,569,2011-04-28,0.578929,4,0.700833,0.6175,4,1,2,0
3717,119,4595,0.240063,0,1,878,2011-04-29,0.497463,4,0.457083,0.51,5,1,2,0
3347,120,5312,0.235075,0,1,1965,2011-04-30,0.464021,4,0.503333,0.4725,6,0,2,0
2213,121,3351,0.106354,0,2,1138,2011-05-01,0.448204,5,0.762083,0.451667,0,0,2,0
3554,122,4401,0.183454,0,2,847,2011-05-02,0.532833,5,0.73,0.549167,1,1,2,0
3848,123,4451,0.342667,0,2,603,2011-05-03,0.582079,5,0.697083,0.616667,2,1,2,0
2378,124,2633,0.328996,0,2,255,2011-05-04,0.40465,5,0.737083,0.414167,3,1,2,0
3819,125,4433,0.295392,0,1,614,2011-05-05,0.441917,5,0.444167,0.459167,4,1,2,0
3714,126,4608,0.228246,0,1,894,2011-05-06,0.474117,5,0.59,0.479167,5,1,2,0
3102,127,4714,0.16045,0,1,1612,2011-05-07,0.512621,5,0.54125,0.52,6,0,2,0
2932,128,4333,0.0746375,0,1,1401,2011-05-08,0.518933,5,0.631667,0.528333,0,0,2,0
3698,129,4362,0.176,0,1,664,2011-05-09,0.525246,5,0.58875,0.5325,1,1,2,0
4109,130,4803,0.115671,0,1,694,2011-05-10,0.522721,5,0.489167,0.5325,2,1,2,0
3632,131,4182,0.120642,0,1,550,2011-05-11,0.5284,5,0.632917,0.5425,3,1,2,0
4169,132,4864,0.189667,0,1,695,2011-05-12,0.523363,5,0.7475,0.535,4,1,2,0
3413,133,4105,0.179725,0,2,692,2011-05-13,0.4943,5,0.863333,0.5125,5,1,2,0
2507,134,3409,0.13495,0,2,902,2011-05-14,0.500629,5,0.9225,0.520833,6,0,2,0
2971,135,4553,0.152979,0,2,1582,2011-05-15,0.536,5,0.867083,0.5625,0,0,2,0
3185,136,3958,0.126871,0,1,773,2011-05-16,0.550512,5,0.787917,0.5775,1,1,2,0
3445,137,4123,0.277354,0,2,678,2011-05-17,0.538529,5,0.837917,0.561667,2,1,2,0
3319,138,3855,0.201492,0,2,536,2011-05-18,0.527158,5,0.87,0.55,3,1,2,0
3840,139,4575,0.108213,0,2,735,2011-05-19,0.510742,5,0.829583,0.530833,4,1,2,0
4008,140,4917,0.125013,0,1,909,2011-05-20,0.529042,5,0.719583,0.536667,5,1,2,0
3547,141,5805,0.12065,0,1,2258,2011-05-21,0.571975,5,0.626667,0.6025,6,0,2,0
3084,142,4660,0.148008,0,1,1576,2011-05-22,0.5745,5,0.749583,0.604167,0,0,2,0
3438,143,4274,0.233842,0,2,836,2011-05-23,0.590296,5,0.81,0.631667,1,1,2,0
3833,144,4492,0.207092,0,2,659,2011-05-24,0.604813,5,0.740833,0.66,2,1,2,0
4238,145,4978,0.154233,0,1,740,2011-05-25,0.615542,5,0.69625,0.660833,3,1,2,0
3919,146,4677,0.199642,0,1,758,2011-05-26,0.654688,5,0.6775,0.708333,4,1,2,0
3808,147,4679,0.240679,0,1,871,2011-05-27,0.637008,5,0.65375,0.681667,5,1,2,0
2757,148,4758,0.230092,0,1,2001,2011-05-28,0.612379,5,0.729583,0.655833,6,0,2,0
2433,149,4788,0.213938,0,1,2355,2011-05-29,0.61555,5,0.81875,0.6675,0,0,2,0
2549,150,4098,0.131225,0,1,1549,2011-05-30,0.671092,5,0.685,0.733333,1,0,2,1
3309,151,3982,0.111329,0,1,673,2011-05-31,0.725383,5,0.636667,0.775,2,1,2,0
3461,152,3974,0.207092,0,2,513,2011-06-01,0.720967,6,0.677083,0.764167,3,1,2,0
4232,153,4968,0.292287,0,1,736,2011-06-02,0.643942,6,0.305,0.715,4,1,2,0
4414,154,5312,0.253121,0,1,898,2011-06-03,0.587133,6,0.354167,0.62,5,1,2,0
3473,155,5342,0.123142,0,1,1869,2011-06-04,0.594696,6,0.45625,0.635,6,0,2,0
3221,156,4906,0.138692,0,2,1685,2011-06-05,0.616804,6,0.6525,0.648333,0,0,2,0
3875,157,4548,0.121896,0,1,673,2011-06-06,0.621858,6,0.6,0.678333,1,1,2,0
4070,158,4833,0.187808,0,1,763,2011-06-07,0.65595,6,0.597917,0.7075,2,1,2,0
3725,159,4401,0.136817,0,1,676,2011-06-08,0.727279,6,0.622083,0.775833,3,1,2,0
3352,160,3915,0.149883,0,2,563,2011-06-09,0.757579,6,0.568333,0.808333,4,1,2,0
3771,161,4586,0.140554,0,1,815,2011-06-10,0.703292,6,0.605,0.755,5,1,2,0
3237,162,4966,0.15485,0,1,1729,2011-06-11,0.678038,6,0.654583,0.725,6,0,2,0
2993,163,4460,0.163567,0,1,1467,2011-06-12,0.643325,6,0.747917,0.6925,0,0,2,0
4157,164,5020,0.30535,0,1,863,2011-06-13,0.601654,6,0.494583,0.635,1,1,2,0
4164,165,4891,0.269283,0,1,727,2011-06-14,0.591546,6,0.507083,0.604167,2,1,2,0
4411,166,5180,0.167912,0,1,769,2011-06-15,0.587754,6,0.471667,0.626667,3,1,2,0
3222,167,3767,0.206471,0,2,545,2011-06-16,0.595346,6,0.688333,0.628333,4,1,2,0
3981,168,4844,0.143029,0,1,863,2011-06-17,0.600383,6,0.735833,0.649167,5,1,2,0
3312,169,5119,0.119408,0,1,1807,2011-06-18,0.643954,6,0.670417,0.696667,6,0,2,0
3105,170,4744,0.102,0,2,1639,2011-06-19,0.645846,6,0.666667,0.699167,0,0,2,0
3311,171,4010,0.155475,0,2,699,2011-06-20,0.595346,6,0.74625,0.635,1,1,2,0
4061,172,4835,0.171025,0,2,774,2011-06-21,0.637646,6,0.770417,0.680833,2,1,3,0
3846,173,4507,0.172262,0,1,661,2011-06-22,0.693829,6,0.7075,0.733333,3,1,3,0
4044,174,4790,0.238804,0,2,746,2011-06-23,0.693833,6,0.703333,0.728333,4,1,3,0
4022,175,4991,0.222025,0,1,969,2011-06-24,0.656583,6,0.573333,0.724167,5,1,3,0
3420,176,5202,0.209571,0,1,1782,2011-06-25,0.643313,6,0.483333,0.695,6,0,3,0
3385,177,5305,0.0945333,0,1,1920,2011-06-26,0.637629,6,0.513333,0.68,0,0,3,0
3854,178,4708,0.107588,0,2,854,2011-06-27,0.637004,6,0.658333,0.6825,1,1,3,0
3916,179,4648,0.144283,0,1,732,2011-06-28,0.692558,6,0.634167,0.744167,2,1,3,0
4377,180,5225,0.261821,0,1,848,2011-06-29,0.654688,6,0.497917,0.728333,3,1,3,0
4488,181,5515,0.185312,0,1,1027,2011-06-30,0.637008,6,0.434167,0.696667,4,1,3,0
4116,182,5362,0.102608,0,1,1246,2011-07-01,0.652162,7,0.39625,0.7225,5,1,3,0
2915,183,5119,0.115062,0,1,2204,2011-07-02,0.667308,7,0.444583,0.738333,6,0,3,0
2367,184,4649,0.228858,0,2,2282,2011-07-03,0.668575,7,0.6825,0.716667,0,0,3,0
2978,185,6043,0.0814792,0,2,3065,2011-07-04,0.665417,7,0.637917,0.726667,1,0,3,1
3634,186,4665,0.126258,0,1,1031,2011-07-05,0.696338,7,0.590417,0.746667,2,1,3,0
3845,187,4629,0.149883,0,1,784,2011-07-06,0.685633,7,0.743333,0.72,3,1,3,0
3838,188,4592,0.1592,0,1,754,2011-07-07,0.686871,7,0.65125,0.75,4,1,3,0
3348,189,4040,0.225129,0,2,692,2011-07-08,0.670483,7,0.757917,0.709167,5,1,3,0
3348,190,5336,0.167912,0,1,1988,2011-07-09,0.664158,7,0.609167,0.733333,6,0,3,0
3138,191,4881,0.183471,0,1,1743,2011-07-10,0.690025,7,0.578333,0.7475,0,0,3,0
3363,192,4086,0.282337,0,1,723,2011-07-11,0.729804,7,0.635833,0.7625,1,1,3,0
3596,193,4258,0.200254,0,1,662,2011-07-12,0.739275,7,0.559167,0.794167,2,1,3,0
3594,194,4342,0.146133,0,1,748,2011-07-13,0.689404,7,0.631667,0.746667,3,1,3,0
4196,195,5084,0.240667,0,1,888,2011-07-14,0.635104,7,0.47625,0.680833,4,1,3,0
4220,196,5538,0.182833,0,1,1318,2011-07-15,0.624371,7,0.59125,0.663333,5,1,3,0
3505,197,5923,0.208342,0,1,2418,2011-07-16,0.638263,7,0.585,0.686667,6,0,3,0
3296,198,5302,0.245033,0,1,2006,2011-07-17,0.669833,7,0.604167,0.719167,0,0,3,0
3617,199,4458,0.215804,0,1,841,2011-07-18,0.703925,7,0.65125,0.746667,1,1,3,0
3789,200,4541,0.1306,0,1,752,2011-07-19,0.747479,7,0.650417,0.776667,2,1,3,0
3688,201,4332,0.113817,0,1,644,2011-07-20,0.74685,7,0.707083,0.768333,3,1,3,0
3152,202,3784,0.222021,0,2,632,2011-07-21,0.826371,7,0.69125,0.815,4,1,3,0
2825,203,3387,0.1331,0,1,562,2011-07-22,0.840896,7,0.580417,0.848333,5,1,3,0
2298,204,3285,0.131221,0,1,987,2011-07-23,0.804287,7,0.5,0.849167,6,0,3,0
2556,205,3606,0.169171,0,1,1050,2011-07-24,0.794829,7,0.550833,0.83,0,0,3,0
3272,206,3840,0.0908083,0,1,568,2011-07-25,0.720958,7,0.757083,0.743333,1,1,3,0
3840,207,4590,0.200258,0,1,750,2011-07-26,0.696979,7,0.540833,0.771667,2,1,3,0
3901,208,4656,0.183463,0,1,755,2011-07-27,0.690667,7,0.402917,0.775,3,1,3,0
3784,209,4390,0.178479,0,1,606,2011-07-28,0.7399,7,0.583333,0.779167,4,1,3,0
3176,210,3846,0.174138,0,1,670,2011-07-29,0.785967,7,0.5425,0.838333,5,1,3,0
2916,211,4475,0.168537,0,1,1559,2011-07-30,0.728537,7,0.465833,0.804167,6,0,3,0
2778,212,4302,0.164813,0,1,1524,2011-07-31,0.729796,7,0.480833,0.805833,0,0,3,0
3537,213,4266,0.156717,0,1,729,2011-08-01,0.703292,8,0.550833,0.771667,1,1,3,0
4044,214,4845,0.20585,0,1,801,2011-08-02,0.707071,8,0.49125,0.783333,2,1,3,0
3107,215,3574,0.135583,0,2,467,2011-08-03,0.679937,8,0.6575,0.731667,3,1,3,0
3777,216,4576,0.19715,0,2,799,2011-08-04,0.664788,8,0.7575,0.71,4,1,3,0
3843,217,4866,0.184696,0,1,1023,2011-08-05,0.656567,8,0.630833,0.710833,5,1,3,0
2773,218,4294,0.22825,0,2,1521,2011-08-06,0.676154,8,0.755,0.716667,6,0,3,0
2487,219,3785,0.201487,0,1,1298,2011-08-07,0.715292,8,0.752917,0.7425,0,0,3,0
3480,220,4326,0.192175,0,1,846,2011-08-08,0.703283,8,0.592083,0.765,1,1,3,0
3695,221,4602,0.151121,0,1,907,2011-08-09,0.724121,8,0.570417,0.775,2,1,3,0
3896,222,4780,0.200258,0,1,884,2011-08-10,0.684983,8,0.424167,0.766667,3,1,3,0
3980,223,4792,0.164796,0,1,812,2011-08-11,0.651521,8,0.42375,0.7175,4,1,3,0
3854,224,4905,0.125621,0,1,1051,2011-08-12,0.654042,8,0.415,0.708333,5,1,3,0
2646,225,4150,0.211454,0,2,1504,2011-08-13,0.645858,8,0.729583,0.685833,6,0,3,0
2482,226,3820,0.222633,0,2,1338,2011-08-14,0.624388,8,0.8175,0.676667,0,0,3,0
3563,227,4338,0.208954,0,1,775,2011-08-15,0.616167,8,0.712083,0.665833,1,1,3,0
4004,228,4725,0.236329,0,1,721,2011-08-16,0.645837,8,0.578333,0.700833,2,1,3,0
4026,229,4694,0.143667,0,1,668,2011-08-17,0.666671,8,0.575417,0.723333,3,1,3,0
3166,230,3805,0.233208,0,1,639,2011-08-18,0.662258,8,0.654583,0.711667,4,1,3,0
3356,231,4153,0.139308,0,2,797,2011-08-19,0.633221,8,0.722917,0.685,5,1,3,0
3277,232,5191,0.104467,0,1,1914,2011-08-20,0.648996,8,0.674167,0.6975,6,0,3,0
2624,233,3873,0.248754,0,1,1249,2011-08-21,0.675525,8,0.77,0.710833,0,0,3,0
3925,234,4758,0.27675,0,1,833,2011-08-22,0.638254,8,0.47,0.691667,1,1,3,0
4614,235,5895,0.146763,0,1,1281,2011-08-23,0.606067,8,0.455417,0.640833,2,1,3,0
4181,236,5130,0.253108,0,1,949,2011-08-24,0.630692,8,0.605,0.673333,3,1,3,0
3107,237,3542,0.210833,0,2,435,2011-08-25,0.645854,8,0.771667,0.684167,4,1,3,0
3893,238,4661,0.0839625,0,1,768,2011-08-26,0.659733,8,0.76125,0.7,5,1,3,0
889,239,1115,0.375617,0,2,226,2011-08-27,0.635556,8,0.85,0.68,6,0,3,0
2919,240,4334,0.304659,0,1,1415,2011-08-28,0.647959,8,0.561765,0.707059,0,0,3,0
3905,241,4634,0.159825,0,1,729,2011-08-29,0.607958,8,0.554583,0.636667,1,1,3,0
4429,242,5204,0.125008,0,1,775,2011-08-30,0.594704,8,0.548333,0.639167,2,1,3,0
4370,243,5058,0.0833333,0,1,688,2011-08-31,0.611121,8,0.597917,0.656667,3,1,3,0
4332,244,5115,0.141796,0,1,783,2011-09-01,0.614921,9,0.639167,0.655,4,1,3,0
3852,245,4727,0.139929,0,2,875,2011-09-02,0.604808,9,0.727083,0.643333,5,1,3,0
2549,246,4484,0.185325,0,1,1935,2011-09-03,0.633213,9,0.716667,0.669167,6,0,3,0
2419,247,4940,0.206467,0,1,2521,2011-09-04,0.665429,9,0.742083,0.709167,0,0,3,0
2115,248,3351,0.212696,0,2,1236,2011-09-05,0.625646,9,0.790417,0.673333,1,0,3,1
2506,249,2710,0.343943,0,3,204,2011-09-06,0.5152,9,0.886957,0.54,2,1,3,0
1878,250,1996,0.0970208,0,3,118,2011-09-07,0.544229,9,0.917083,0.599167,3,1,3,0
1689,251,1842,0.192748,0,3,153,2011-09-08,0.555361,9,0.939565,0.633913,4,1,3,0
3127,252,3544,0.124379,0,2,417,2011-09-09,0.578946,9,0.897917,0.65,5,1,3,0
3595,253,5345,0.153608,0,1,1750,2011-09-10,0.607962,9,0.75375,0.66,6,0,3,0
3413,254,5046,0.115054,0,1,1633,2011-09-11,0.609229,9,0.71375,0.653333,0,0,3,0
4023,255,4713,0.088913,0,1,690,2011-09-12,0.60213,9,0.692174,0.644348,1,1,3,0
4062,256,4763,0.141804,0,1,701,2011-09-13,0.603554,9,0.7125,0.650833,2,1,3,0
4138,257,4785,0.1673,0,1,647,2011-09-14,0.6269,9,0.697083,0.673333,3,1,3,0
3231,258,3659,0.271146,0,2,428,2011-09-15,0.553671,9,0.709167,0.5775,4,1,3,0
4018,259,4760,0.164183,0,2,742,2011-09-16,0.461475,9,0.590417,0.469167,5,1,3,0
3077,260,4511,0.189675,0,2,1434,2011-09-17,0.478512,9,0.718333,0.491667,6,0,3,0
2921,261,4274,0.178483,0,1,1353,2011-09-18,0.490537,9,0.695,0.5075,0,0,3,0
3848,262,4539,0.151742,0,2,691,2011-09-19,0.529675,9,0.69,0.549167,1,1,3,0
3203,263,3641,0.134954,0,2,438,2011-09-20,0.532217,9,0.88125,0.561667,2,1,3,0
3813,264,4352,0.0964042,0,2,539,2011-09-21,0.550533,9,0.9,0.595,3,1,3,0
4240,265,4795,0.128125,0,2,555,2011-09-22,0.554963,9,0.902083,0.628333,4,1,3,0
2137,266,2395,0.0783667,0,2,258,2011-09-23,0.522125,9,0.9725,0.609167,5,1,4,0
3647,267,5423,0.0783833,0,2,1776,2011-09-24,0.564412,9,0.8625,0.606667,6,0,4,0
3466,268,5010,0.0503792,0,2,1544,2011-09-25,0.572637,9,0.845,0.634167,0,0,4,0
3946,269,4630,0.1107,0,2,684,2011-09-26,0.589042,9,0.848333,0.649167,1,1,4,0
3643,270,4120,0.118171,0,2,477,2011-09-27,0.574525,9,0.885417,0.636667,2,1,4,0
3427,271,3907,0.148629,0,2,480,2011-09-28,0.575158,9,0.84875,0.635,3,1,4,0
4186,272,4839,0.172883,0,1,653,2011-09-29,0.574512,9,0.699167,0.616667,4,1,4,0
